
> frontend@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.100.134:3000

✓ Starting...
✓ Ready in 692ms
 GET /principal/financeiro 200 in 27ms (compile: 1512µs, render: 25ms)
 GET /principal/financeiro 200 in 26ms (compile: 1504µs, render: 25ms)
 GET /principal/financeiro 200 in 26ms (compile: 1568µs, render: 24ms)
✓ Compiled in 47ms
✓ Compiled in 64ms
✓ Compiled in 95ms
 GET /principal/financeiro 200 in 133ms (compile: 79ms, render: 55ms)
 GET /principal/financeiro 200 in 69ms (compile: 2ms, render: 67ms)
 GET /principal/financeiro 200 in 53ms (compile: 1997µs, render: 51ms)
 GET /principal/financeiro 200 in 49ms (compile: 3ms, render: 46ms)
 GET /principal/financeiro 200 in 40ms (compile: 1951µs, render: 38ms)
 GET /principal/financeiro 200 in 40ms (compile: 1812µs, render: 39ms)
 GET /principal/financeiro 200 in 44ms (compile: 2ms, render: 41ms)
 GET /principal/financeiro 200 in 42ms (compile: 1850µs, render: 41ms)
 GET /principal/financeiro 200 in 46ms (compile: 1785µs, render: 45ms)
 GET /principal/financeiro 200 in 62ms (compile: 3ms, render: 60ms)
 GET /principal/financeiro 200 in 49ms (compile: 3ms, render: 46ms)
 GET /principal/financeiro 200 in 44ms (compile: 2ms, render: 42ms)
 GET /principal/financeiro 200 in 42ms (compile: 1839µs, render: 40ms)
 GET /principal/financeiro 200 in 39ms (compile: 1968µs, render: 37ms)
 GET /principal/financeiro 200 in 44ms (compile: 2ms, render: 42ms)
 GET /principal/financeiro 200 in 40ms (compile: 2ms, render: 38ms)
 GET /principal/financeiro 200 in 39ms (compile: 2ms, render: 37ms)
 GET /principal/financeiro 200 in 34ms (compile: 2ms, render: 32ms)
 GET /principal/financeiro 200 in 34ms (compile: 1698µs, render: 32ms)
 GET /principal/financeiro 200 in 39ms (compile: 1561µs, render: 38ms)
 GET /principal/financeiro 200 in 43ms (compile: 1967µs, render: 41ms)
 GET /principal/financeiro 200 in 45ms (compile: 2ms, render: 43ms)
 GET /principal/financeiro 200 in 44ms (compile: 2ms, render: 42ms)
 GET /principal/financeiro 200 in 44ms (compile: 2ms, render: 41ms)
 GET /principal/financeiro 200 in 48ms (compile: 2ms, render: 46ms)
 GET /principal/financeiro 200 in 44ms (compile: 1686µs, render: 43ms)
 GET /principal/financeiro 200 in 41ms (compile: 1919µs, render: 39ms)
 GET /principal/financeiro 200 in 34ms (compile: 2ms, render: 32ms)
 GET /principal/financeiro 200 in 32ms (compile: 1394µs, render: 31ms)
 GET /principal/financeiro 200 in 35ms (compile: 1756µs, render: 33ms)
 GET /principal/financeiro 200 in 35ms (compile: 1267µs, render: 33ms)
 GET /principal/financeiro 200 in 35ms (compile: 1289µs, render: 34ms)
 GET /principal/financeiro 200 in 34ms (compile: 1294µs, render: 33ms)
 GET /principal/financeiro 200 in 47ms (compile: 1674µs, render: 46ms)
 GET /principal/financeiro 200 in 37ms (compile: 1837µs, render: 35ms)
 GET /principal/financeiro 200 in 35ms (compile: 1614µs, render: 33ms)
 GET /principal/financeiro 200 in 33ms (compile: 1073µs, render: 32ms)
 GET /principal/financeiro 200 in 39ms (compile: 2ms, render: 37ms)
 GET /principal/financeiro 200 in 42ms (compile: 1426µs, render: 40ms)
 GET /principal/financeiro 200 in 36ms (compile: 1356µs, render: 35ms)
 GET /principal/financeiro 200 in 37ms (compile: 1123µs, render: 36ms)
 GET /principal/financeiro 200 in 38ms (compile: 1209µs, render: 37ms)
 GET /principal/financeiro 200 in 33ms (compile: 1619µs, render: 31ms)
 GET /principal/financeiro 200 in 34ms (compile: 1789µs, render: 32ms)
 GET /principal/financeiro 200 in 50ms (compile: 1225µs, render: 49ms)
 GET /principal/financeiro 200 in 42ms (compile: 1410µs, render: 40ms)
 GET /principal/financeiro 200 in 44ms (compile: 1639µs, render: 42ms)
 GET /principal/financeiro 200 in 42ms (compile: 1806µs, render: 40ms)
 GET /principal/financeiro 200 in 36ms (compile: 1454µs, render: 34ms)
 GET /principal/financeiro 200 in 34ms (compile: 1491µs, render: 32ms)
 GET /principal/financeiro 200 in 35ms (compile: 1887µs, render: 33ms)
 GET /principal/financeiro 200 in 37ms (compile: 1132µs, render: 36ms)
